                    1     2.5000000000000001E-003     2.2004152895351396E-002
                    2     7.4999999999999997E-003     2.2040499489391310E-002
                    3     1.2500000000000001E-002     2.2116608879878989E-002
                    4     1.7500000000000002E-002     2.2210850112881222E-002
                    5     2.2499999999999999E-002     2.2317624354379850E-002
                    6     2.7500000000000000E-002     2.2436345514540428E-002
                    7     3.2500000000000001E-002     2.2567714340050029E-002
                    8     3.7500000000000006E-002     2.2713275989362729E-002
                    9     4.2499999999999996E-002     2.2875175083165417E-002
                   10     4.7500000000000001E-002     2.3055911950161150E-002
                   11     5.2500000000000005E-002     2.3258437329957009E-002
                   12     5.7499999999999996E-002     2.3486524474972792E-002
                   13     6.2500000000000000E-002     2.3744704453075704E-002
                   14     6.7500000000000004E-002     2.4038303086639724E-002
                   15     7.2500000000000009E-002     2.4374189084993288E-002
                   16     7.7499999999999999E-002     2.4761467703271277E-002
                   17     8.2500000000000004E-002     2.5212060349565843E-002
                   18     8.7499999999999994E-002     2.5742363883263224E-002
                   19     9.2499999999999999E-002     2.6375164518890114E-002
                   20     9.7500000000000003E-002     2.7142446399313652E-002
                   21    0.10250000000000001          2.8092382334462176E-002
                   22    0.10750000000000000          2.9299309257838663E-002
                   23    0.11250000000000000          3.0883213701578718E-002
                   24    0.11749999999999999          3.3050299879842357E-002
                   25    0.12250000000000000          3.6182369483102460E-002
                   26    0.12750000000000000          4.1066952264964457E-002
                   27    0.13250000000000001          4.9549146997972207E-002
                   28    0.13750000000000001          6.5978685368306769E-002
                   29    0.14250000000000002          9.1158854158249786E-002
                   30    0.14749999999999999         0.10996552162642839     
                   31    0.15250000000000000         0.11649929766244255     
                   32    0.15750000000000000         0.11970134139061073     
                   33    0.16250000000000001         0.12200813270713812     
                   34    0.16750000000000001         0.12434527769647546     
                   35    0.17250000000000001         0.12642968029923751     
                   36    0.17749999999999999         0.12829542397565102     
                   37    0.18250000000000000         0.12997009598478249     
                   38    0.18750000000000000         0.13147628083096363     
                   39    0.19250000000000000         0.13283258935380457     
                   40    0.19750000000000001         0.13405442960557856     
                   41    0.20250000000000001         0.13515461360675701     
                   42    0.20750000000000002         0.13614384485762546     
                   43    0.21249999999999999         0.13703111140151977     
                   44    0.21750000000000000         0.13782400143649748     
                   45    0.22250000000000000         0.13852895521707603     
                   46    0.22750000000000001         0.13915146509278517     
                   47    0.23250000000000001         0.13969623390122443     
                   48    0.23749999999999999         0.14016730032473157     
                   49    0.24249999999999999         0.14056813826592190     
                   50    0.24750000000000000         0.14090173588090171     
                   51    0.25250000000000000         0.14117065868597520     
                   52    0.25750000000000001         0.14137710014248422     
                   53    0.26250000000000001         0.14152292231518848     
                   54    0.26750000000000002         0.14160968856692663     
                   55    0.27250000000000002         0.14163868976517069     
                   56    0.27750000000000002         0.14161096510388455     
                   57    0.28250000000000003         0.14152731835972926     
                   58    0.28749999999999998         0.14138833018260638     
                   59    0.29249999999999998         0.14119436684876324     
                   60    0.29749999999999999         0.14094558576605937     
