"","depth","7.6","10","20","30","40","50","60","70","80","90","100","110","120","130","140","150","160","170","180","190","200","210","220","230","240","250"
"1",0,1.83562690369847,-1.40974900778113,-2.75297279071451,-3.07391314774791,-3.15569512178387,-3.18611914521726,-3.20999470162861,-3.24068082466841,-3.27223243120933,-3.30816019755003,-3.34606136797939,-3.38291361926363,-3.41745710154707,-3.4521087437943,-3.48305184442974,-3.51294752410811,-3.54282843246907,-3.56980687100344,-3.59099383958946,-3.61655212158277,-3.63939002451442,-3.65936408375744,-3.68125262983852,-3.69982840770041,-3.71640086281406,-3.73171735273042
"2",0.001,-7.03828964473789,-5.6525844386804,-5.07580785342955,-4.97898444367272,-4.95351688539551,-4.95044691456591,-4.94958599075619,-4.94921588733417,-4.94635926525641,-4.94486797290066,-4.94357680536651,-4.94324763322383,-4.94266527998319,-4.94402459353149,-4.94544686357169,-4.94720416161275,-4.94974656005771,-4.95317734029325,-4.956427773875,-4.96058537973502,-4.96441381195449,-4.96793961181142,-4.97282896407961,-4.97659918897109,-4.98008524590221,-4.98393891871244
"3",0.002,-5.3432782299544,-5.13352033491267,-5.13849036723649,-5.09648458474969,-5.09143416845209,-5.09349697719008,-5.09760705114447,-5.09984649511169,-5.10154274429686,-5.10294438439414,-5.10395776741534,-5.10551711550545,-5.10661168062152,-5.10760802074607,-5.10899184470184,-5.10999416442082,-5.11117739732363,-5.11341961775232,-5.11542734527029,-5.11703528494796,-5.11951989564966,-5.12151281674461,-5.12429196774523,-5.12694831458375,-5.12921262085144,-5.13207103586899
"4",0.003,-5.59866557113045,-5.33020129435224,-5.21232552825847,-5.18978618419337,-5.19066604248046,-5.19532093922967,-5.20015619080794,-5.20390909282743,-5.20714769208418,-5.20973624596638,-5.21172217927767,-5.21370707874679,-5.21537065026477,-5.21648555783935,-5.21779761396408,-5.2184914920567,-5.21920903601332,-5.22001919486118,-5.22104082948403,-5.22126698738662,-5.22222820110125,-5.22319154341371,-5.22394309115339,-5.22520063958436,-5.22627455791655,-5.22746470404647
"5",0.004,-5.30197973107937,-5.31049878713474,-5.24322723202178,-5.23325521234828,-5.23767931680904,-5.24338038946859,-5.25009724259259,-5.25432158474432,-5.2577468264807,-5.26191609324071,-5.26424297900464,-5.26726643591033,-5.26953881742626,-5.27166653094878,-5.27316838051248,-5.27463636238071,-5.27586957193322,-5.27673856648267,-5.27753425009636,-5.27801579646654,-5.27892722553497,-5.2796233083404,-5.28021220870827,-5.28088171503083,-5.28155646192083,-5.2820185197106
"6",0.005,-5.23838189454939,-5.2369572203478,-5.25968059981359,-5.25672865332872,-5.26372084116446,-5.2700397456125,-5.27687066316209,-5.28191643732769,-5.28644436138816,-5.29024916398019,-5.29399773570084,-5.29739936868922,-5.30022061223587,-5.30228887399958,-5.30424594029562,-5.30673147636529,-5.30837259231471,-5.30954886872404,-5.31027399997681,-5.31119267462873,-5.31242242974844,-5.31306692959115,-5.31414146150318,-5.31449906852219,-5.31519667525025,-5.31557612609652
"7",0.006,-5.30216812255635,-5.24783446235121,-5.26987897421501,-5.2705932168078,-5.27805749034681,-5.28579725938441,-5.29226534862159,-5.29889247878199,-5.30341398819601,-5.30725418369238,-5.311692311618,-5.31538774565539,-5.31860393794658,-5.32110307987423,-5.32341340299014,-5.32599306621894,-5.32794923536588,-5.32921057175989,-5.33052056163209,-5.33187574717791,-5.33294267073168,-5.33394260870719,-5.33522177170677,-5.33571635344098,-5.33649482663726,-5.33715763343933
"8",0.007,-5.40813859522068,-5.28100715826142,-5.27515371805233,-5.27913872829884,-5.28794632416679,-5.2956717839169,-5.30286058407769,-5.30905597105181,-5.31382897360916,-5.31883183403603,-5.32268078874999,-5.32654764156029,-5.32997711823828,-5.3333475818477,-5.33581609353368,-5.33808637959723,-5.34029278705806,-5.34177635639714,-5.34350439052212,-5.34522357102227,-5.34625837680919,-5.34758084075144,-5.34889667116447,-5.34958798588302,-5.35053730039521,-5.35140228568786
"9",0.008,-5.09572712818102,-5.33381432602651,-5.27838736919285,-5.28510767894099,-5.29429120733715,-5.30192480003497,-5.30926450781717,-5.31577406981913,-5.32074035267032,-5.32621296681847,-5.33001295810015,-5.33410516932295,-5.33767682137666,-5.34121244531715,-5.34381062642178,-5.34618401575739,-5.34853751330472,-5.35033430047521,-5.3520834563101,-5.35400996417482,-5.35528930853012,-5.35668917754089,-5.35806760898389,-5.35904177405455,-5.36010425222725,-5.36113658899903
"10",0.009,-5.28486149982222,-5.24816977785758,-5.27970951864979,-5.28899468157445,-5.29760753092231,-5.30626462587245,-5.31334595718064,-5.32040067537524,-5.32540621269755,-5.33096614558244,-5.3350918862816,-5.3393179504989,-5.34290365882187,-5.34640711312239,-5.34913994327157,-5.35167345424102,-5.35410370407061,-5.35628765227469,-5.35810975016784,-5.3599268181734,-5.36160382625657,-5.36307171044373,-5.36432219633603,-5.36572803378158,-5.36680540216595,-5.36802389010543
"11",0.01,-5.42577147700297,-5.28559782236548,-5.28140018533109,-5.29106077369385,-5.30047224575409,-5.30938081609612,-5.31671518782407,-5.32351802838773,-5.32904056747373,-5.33432457713233,-5.33890507905803,-5.34282355484059,-5.34647686921996,-5.35011738414709,-5.35293253987723,-5.35544456984397,-5.3579555902237,-5.36053595302071,-5.36239970553312,-5.36418780926253,-5.3660889340829,-5.36761392163615,-5.36881364260511,-5.37054893002341,-5.37167075608773,-5.37290880937084
"12",0.011,-5.11026088373516,-5.27551204403295,-5.28254511199429,-5.29251211450287,-5.30263767202413,-5.31141332105504,-5.31933001107461,-5.32606162671504,-5.33114488633128,-5.33681007821142,-5.34181727105359,-5.34533937491744,-5.34904741399733,-5.35280122836026,-5.35572498594964,-5.3583007490459,-5.36087066766848,-5.36362474864819,-5.36557394575604,-5.36735242020592,-5.36936899151009,-5.37093088500018,-5.37221554031615,-5.37410908623258,-5.37526273804628,-5.37647695373066
"13",0.012,-5.32276500762423,-5.3146441699718,-5.28186835387687,-5.29357222444361,-5.30436866152655,-5.31333685558105,-5.32129474660195,-5.32762454855287,-5.33276392930058,-5.33856511846203,-5.34366879111509,-5.34748732748959,-5.35122531650207,-5.3549229836913,-5.35789753975092,-5.36056233269156,-5.36324590083839,-5.36587152642269,-5.36796802463572,-5.36979471536564,-5.37175725461563,-5.37346422919577,-5.3749418716278,-5.37674839780827,-5.37796647020487,-5.37921272811876
"14",0.013,-5.12979220545175,-5.25008576006243,-5.2816848408314,-5.29397129488795,-5.30483459509264,-5.31418936938347,-5.3221871838974,-5.3289444859429,-5.33460535346619,-5.33995963727662,-5.34502681972192,-5.34935542638786,-5.3529898992067,-5.35663646514443,-5.35961419471712,-5.36233194253754,-5.36514529311005,-5.36763646076631,-5.3697370450214,-5.37168883011771,-5.37365417367398,-5.37538497098686,-5.37709538842431,-5.37881124703333,-5.38006612613028,-5.38133184328024
"15",0.014,-5.27508777193801,-5.35543029876771,-5.28188172809006,-5.29438493979886,-5.30499983933666,-5.31476005953333,-5.32321493001965,-5.32998553022538,-5.33596891591821,-5.34124627082033,-5.34619404955607,-5.35062621253002,-5.35426521858665,-5.35790206463247,-5.36089157434959,-5.36367073449036,-5.36659740633507,-5.36907297525496,-5.37114990185064,-5.37316464832077,-5.37516126475589,-5.37692639198882,-5.37878426348941,-5.38043990279682,-5.38178449924629,-5.38304196683369
"16",0.015,-5.39011486132165,-5.2272228050594,-5.28196320339779,-5.29433964647163,-5.30570841724136,-5.31557137935291,-5.32389671963087,-5.33113267403586,-5.33680068171623,-5.34235148650038,-5.34723925675012,-5.35159943474776,-5.35533897878317,-5.35898778515935,-5.36201999853078,-5.3648229674658,-5.36772701128333,-5.37018898223372,-5.37232416816308,-5.37434690689687,-5.3764989536565,-5.3782011123994,-5.38009916547277,-5.38179578319318,-5.3831814283456,-5.38447712590511
